Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
7300 Standifer Gap Rd,Chattanooga,TN,37421,12/21/2017 08:00:00 PM,TN0330100,C9,Charlie N,11A,Forcible Rape,Part 1 Crimes,18-017864,I,Closed,35.050534999999996,-85.148208,POINT (-85.148208 35.050535),6
1600 E 23rd St,Chattanooga,TN,37404,12/21/2017 05:30:00 PM,TN0330100,B6,Baker S,13A,Aggravated Assault,Part 1 Crimes,17-122570,3,Pending/Possible Leads,35.021192,-85.288055,POINT (-85.288055 35.021192),8
1600 E 23rd St,Chattanooga,TN,37404,12/21/2017 05:30:00 PM,TN0330100,B6,Baker S,120,Robbery,Part 1 Crimes,17-122570,3,Pending/Possible Leads,35.021453,-85.288785,POINT (-85.288785 35.021453),8
1100 N Hawthorne St,Chattanooga,TN,37406,12/21/2017 04:00:00 PM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,17-122529,2,Cleared by Arrest,35.050388999999996,-85.267449,POINT (-85.267449 35.050389),8
2000 E 23rd St,Chattanooga,TN,37404,12/21/2017 12:30:00 PM,TN0330100,B6,Baker S,13A,Aggravated Assault,Part 1 Crimes,17-122385,2,Cleared by Arrest,35.018727999999996,-85.281671,POINT (-85.281671 35.018728),8
400 Somerville Ave,Chattanooga,TN,37405,12/20/2017 10:30:00 PM,TN0330100,A5,Adam N,13A,Aggravated Assault,Part 1 Crimes,17-122290,2,Cleared by Arrest,35.063781,-85.314887,POINT (-85.314887 35.063781),1
700 W 12th Street Ct,Chattanooga,TN,37402,12/20/2017 07:35:00 PM,TN0330100,A6,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-122234,3,Pending/Possible Leads,35.044301999999995,-85.31766400000001,POINT (-85.317664 35.044302),7
N Holly St & Citico Ave,Chattanooga,TN,37404,12/19/2017 10:44:00 PM,TN0330100,B4,Baker N,13A,Aggravated Assault,Part 1 Crimes,17-121918,3,Pending/Possible Leads,35.047356,-85.274321,POINT (-85.274321 35.047356),8
700 E 11th St,Chattanooga,TN,37403,12/19/2017 10:01:00 PM,TN0330100,A9,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-121904,2,Cleared by Arrest,35.040176,-85.298985,POINT (-85.298985 35.040176),8
4100 Highland Ave,Chattanooga,TN,37410,12/19/2017 08:24:00 PM,TN0330100,A12,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-121885,2,Cleared by Arrest,35.003544,-85.315108,POINT (-85.315108 35.003544),7
1100 E 13th St,Chattanooga,TN,37408,12/19/2017 03:45:00 PM,TN0330100,B5,Baker S,13A,Aggravated Assault,Part 1 Crimes,17-121797,2,Cleared by Arrest,35.031831999999994,-85.290579,POINT (-85.290579 35.031832),8
800 Lindsay St,Chattanooga,TN,37402,12/19/2017 03:40:00 PM,TN0330100,A7,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-121794,3,Pending/Possible Leads,35.047117,-85.30633900000001,POINT (-85.306339 35.047117),8
800 Woodmore Ln,Chattanooga,TN,37411,12/19/2017 09:04:00 AM,TN0330100,C2,Charlie S,11A,Forcible Rape,Part 1 Crimes,17-121683,3,Pending/Possible Leads,35.031043,-85.226871,POINT (-85.226871 35.031043),5
1300 Roanoke Ave,Chattanooga,TN,37406,12/19/2017 01:06:00 AM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,17-121621,3,Pending/Possible Leads,35.052938,-85.263538,POINT (-85.263538 35.052938),8
3500 Garner Rd,Chattanooga,TN,37406,12/19/2017 12:30:00 AM,TN0330100,C1,Charlie S,13A,Aggravated Assault,Part 1 Crimes,17-121690,2,Cleared by Arrest,35.055696,-85.23071800000001,POINT (-85.230718 35.055696),5
